rollout/episode_reward,rollout/rew_surface_coverage_2d,time/total_timesteps,rollout/rew_collision,rollout/rew_termination,rollout/total_reward,rollout/episode_length,time/iterations,time/fps,time/training,train/n_updates,train/policy_gradient_loss,train/clip_range_vf,train/loss,train/value_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/entropy_loss,train/explained_variance,train/learning_rate
0.528,0.558,180224,-0.07,0.018,0.506,18.513,11,248,6.771340370178223,50,-0.04349295878637349,0.2,6.9693450927734375,6.519011563807726,0.42325439453125,0.2,0.06679905,-4.062766556441784,0.5667104721069336,0.0001
0.542,0.564,196608,-0.066,0.018,0.515,19.356,12,247,6.740228176116943,55,-0.044890657052746974,0.2,5.935685634613037,6.44520498663187,0.40849609375,0.2,0.06803575,-4.095456238463521,0.5833793580532074,0.0001
0.532,0.565,212992,-0.068,0.021,0.518,18.637,13,247,6.744357347488403,60,-0.04467351087951101,0.2,2.586519718170166,5.965726687759161,0.432861328125,0.2,0.073743716,-4.127072950080037,0.6034594476222992,0.0001
0.561,0.624,229376,-0.057,0.02,0.587,19.331,14,247,6.712941408157349,65,-0.04311231795873027,0.2,4.092137813568115,6.3819201271981,0.422412109375,0.2,0.07242063,-4.166844943910837,0.576709657907486,0.0001
0.529,0.563,245760,-0.067,0.02,0.516,19.213,15,248,6.742079734802246,70,-0.04429520018165931,0.2,4.699798107147217,6.006679804995656,0.428759765625,0.2,0.07431015,-4.108086362853646,0.5957018435001373,0.0001
0.517,0.586,262144,-0.063,0.023,0.546,18.14,16,247,6.734999895095825,75,-0.04540280774817802,0.2,6.11967658996582,6.392028392106295,0.4194580078125,0.2,0.073064506,-4.12258109934628,0.5860941112041473,0.0001
0.523,0.569,278528,-0.063,0.02,0.526,18.953,17,247,6.7323126792907715,80,-0.045962844696623505,0.2,4.243561744689941,6.009509101137519,0.41793212890625,0.2,0.068614826,-4.138300785049796,0.6040761172771454,0.0001
0.528,0.552,294912,-0.063,0.019,0.508,19.154,18,248,6.728224277496338,85,-0.044763811862503645,0.2,3.2166662216186523,6.169607528671622,0.4282470703125,0.2,0.07538831,-4.112141597643495,0.5922268033027649,0.0001
0.536,0.564,311296,-0.064,0.021,0.521,19.164,19,248,6.7377235889434814,90,-0.0465682889931486,0.2,5.147717475891113,6.146047234535217,0.4312255859375,0.2,0.0768871,-4.0827775619924065,0.59925776720047,0.0001
0.526,0.555,327680,-0.063,0.018,0.51,18.744,20,249,6.753323793411255,95,-0.04403662270051427,0.2,4.164983749389648,6.305934546887874,0.436669921875,0.2,0.07731652,-4.01994037553668,0.5869201123714447,0.0001
