time/fps,rollout/episode_length,rollout/total_reward,rollout/episode_reward,time/iterations,time/total_timesteps,rollout/rew_surface_coverage_2d,rollout/rew_collision,rollout/rew_termination,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range_vf,train/n_updates,time/training,train/approx_kl,train/loss
120,10.275,0.445,0.447,26,425984,0.521,-0.09,0.014,-8.511489886045457,0.33696675300598145,0.0001,0.2,-0.04673379974628915,9.923541727662087,0.43612060546875,0.2,125,7.300575017929077,0.046962604,7.44405460357666
120,9.284,0.441,0.425,27,442368,0.513,-0.085,0.013,-8.491039383411408,0.33258968591690063,0.0001,0.2,-0.046228733225143516,9.982287449389696,0.439501953125,0.2,130,7.325734615325928,0.050687272,8.945266723632812
120,10.077,0.47,0.45,28,458752,0.544,-0.089,0.016,-8.419798970222473,0.32218313217163086,0.0001,0.2,-0.049164904846111315,9.861744512617587,0.4555419921875,0.2,135,7.252244710922241,0.051737357,6.06760835647583
120,9.235,0.423,0.422,29,475136,0.501,-0.09,0.012,-8.382308547198772,0.33337587118148804,0.0001,0.2,-0.04682900642583263,10.109445583075285,0.44844970703125,0.2,140,7.278909683227539,0.051152017,6.213420391082764
120,10.225,0.438,0.448,30,491520,0.514,-0.092,0.016,-8.35750812292099,0.365220844745636,0.0001,0.2,-0.04663226511402172,9.284895736724138,0.4566162109375,0.2,145,7.225250005722046,0.052624326,7.148687362670898
120,10.409,0.413,0.443,31,507904,0.492,-0.092,0.013,-8.307047545909882,0.3218650221824646,0.0001,0.2,-0.046792420853307704,10.531804808229207,0.4560791015625,0.2,150,7.288379192352295,0.052579433,8.103065490722656
119,10.815,0.479,0.463,32,524288,0.546,-0.084,0.017,-8.283452626351668,0.3440455198287964,0.0001,0.2,-0.04426436566193003,9.593020373137705,0.44367600182149364,0.2,155,6.230920314788818,0.05500968,4.241637229919434
120,10.801,0.484,0.463,33,540672,0.552,-0.085,0.017,-8.21156966053901,0.3548771142959595,0.0001,0.2,-0.03690741566505671,9.790572139275332,0.44003253929273084,0.2,160,5.757507085800171,0.04986412,7.16640567779541
120,9.486,0.408,0.414,34,557056,0.484,-0.089,0.014,-8.13624045558317,0.3347623944282532,0.0001,0.2,-0.03761475489292892,10.330317128327183,0.4355355415860735,0.2,165,5.889780521392822,0.06035701,9.300956726074219
120,10.844,0.451,0.453,35,573440,0.525,-0.089,0.015,-8.12207952023454,0.3511962890625,0.0001,0.2,-0.039539755792982016,9.448366114683097,0.4528148629489603,0.2,170,6.003815412521362,0.054698545,8.111201286315918
120,10.44,0.45,0.461,36,589824,0.526,-0.091,0.014,-8.104366385590486,0.34842634201049805,0.0001,0.2,-0.034917725781481175,9.708179488716283,0.448489367219917,0.2,175,5.445694446563721,0.052239835,3.8228886127471924
120,9.916,0.428,0.421,37,606208,0.5,-0.086,0.014,-8.09305153447068,0.36683905124664307,0.0001,0.2,-0.03593659658502803,9.291916836346829,0.4512772302904564,0.2,180,5.45878005027771,0.05081339,6.071551322937012
120,11.602,0.49,0.485,38,622592,0.557,-0.085,0.018,-8.05185444202381,0.3542135953903198,0.0001,0.2,-0.03259587939006274,9.88376132068255,0.4465887141280353,0.2,185,5.134876489639282,0.0522074,7.093188285827637
120,11.342,0.462,0.473,39,638976,0.535,-0.088,0.015,-8.02598260056158,0.38699662685394287,0.0001,0.2,-0.019924466516996114,8.69809071321665,0.41146642080745344,0.2,190,3.6265389919281006,0.044035092,6.369579315185547
