rollout/episode_reward,rollout/episode_length,time/fps,rollout/rew_collision,rollout/rew_termination,rollout/total_reward,time/iterations,rollout/rew_surface_coverage_2d,time/total_timesteps,train/loss,train/approx_kl,time/training,train/value_loss,train/clip_range_vf,train/explained_variance,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/n_updates
0.602,19.854,108,-0.058,0.028,0.638,58,0.669,950272,4.990401744842529,0.054178104,2.952335834503174,6.6305595088179095,0.2,0.5686998963356018,0.0001,0.2,-0.008519802341088109,0.37069457116788324,-4.238451691439552,285
0.61,20.35,108,-0.061,0.023,0.593,59,0.632,966656,3.830293655395508,0.060246903,1.4047753810882568,6.724441804958664,0.2,0.5667207837104797,0.0001,0.2,0.019537347454207998,0.32114742366412213,-4.248776113713971,290
0.593,19.158,109,-0.061,0.021,0.597,60,0.636,983040,5.325099945068359,0.05923885,4.3304290771484375,6.964120267641427,0.2,0.5489206314086914,0.0001,0.2,-0.024512794528082752,0.38809173886138615,-4.169986686494091,295
0.567,18.312,109,-0.068,0.019,0.546,61,0.595,999424,4.383631706237793,0.05865059,3.022923469543457,7.034348781422788,0.2,0.5459571778774261,0.0001,0.2,-0.009468516218890288,0.3622664590747331,-4.185689785302322,300
0.596,19.919,110,-0.058,0.021,0.616,62,0.653,1015808,5.589847087860107,0.025989467,0.9892880916595459,7.248781602433387,0.2,0.5163256227970123,0.0001,0.2,0.017195306906595507,0.2906416223404255,-4.199345512593046,305
0.597,19.37,109,-0.056,0.027,0.648,63,0.677,1032192,6.176944255828857,0.049674947,3.4528756141662598,6.841785016074638,0.2,0.5537481307983398,0.0001,0.2,-0.01732481461906396,0.38223200464396284,-4.257151550552793,310
0.599,20.742,110,-0.066,0.022,0.581,64,0.626,1048576,4.6633076667785645,0.05146292,1.42649507522583,7.383807429693695,0.2,0.5293594300746918,0.0001,0.2,0.019342250526791678,0.313968515037594,-4.1859956092404245,315
0.57,18.507,111,-0.065,0.02,0.562,65,0.607,1064960,6.315011024475098,0.053561646,2.8968451023101807,6.955517860426419,0.2,0.549096554517746,0.0001,0.2,-0.008515739904554643,0.3677536231884058,-4.178681187007738,320
0.59,19.822,111,-0.059,0.026,0.607,66,0.64,1081344,4.512491226196289,0.04987334,2.9743993282318115,7.05778697666369,0.2,0.5420471131801605,0.0001,0.2,-0.012472446537331532,0.3676535087719298,-4.209981750187121,325
0.617,20.32,112,-0.068,0.019,0.559,67,0.609,1097728,6.419119834899902,0.027376564,1.0971448421478271,7.369743446134171,0.2,0.5190969109535217,0.0001,0.2,0.02045778055095448,0.29223172169811323,-4.168524121338466,330
0.608,19.066,113,-0.061,0.025,0.639,68,0.675,1114112,7.229554176330566,0.07633816,1.3386526107788086,6.983327111532522,0.2,0.5637968480587006,0.0001,0.2,0.018819439853000088,0.29917635658914726,-4.128586595372636,335
0.611,19.398,112,-0.06,0.021,0.589,69,0.628,1130496,5.730128765106201,0.064171195,2.6738109588623047,7.223917268043341,0.2,0.5487681031227112,0.0001,0.2,-0.007503298057113276,0.35886022286821706,-4.087248959282572,340
0.605,20.461,112,-0.056,0.022,0.591,70,0.625,1146880,4.665946006774902,0.054882787,2.8115665912628174,7.2970691796611336,0.2,0.5270699262619019,0.0001,0.2,-0.010251779526965144,0.3512178308823529,-4.04068662313854,345
0.571,18.912,112,-0.059,0.025,0.604,71,0.638,1163264,4.927268028259277,0.06365715,4.018116474151611,6.765802522551431,0.2,0.5583347380161285,0.0001,0.2,-0.020431487555292394,0.3851823586118252,-4.051495436224656,350
0.587,18.985,112,-0.055,0.023,0.612,72,0.643,1179648,7.959117889404297,0.026605336,1.0908033847808838,7.204648568945111,0.2,0.5351320803165436,0.0001,0.2,0.017770784410630475,0.29068396226415094,-4.080225973759058,355
0.608,19.389,112,-0.06,0.024,0.602,73,0.638,1196032,4.916562557220459,0.042802624,2.442042350769043,7.341639854140201,0.2,0.5237405598163605,0.0001,0.2,-0.004249851148322982,0.3617915783898305,-4.094223822577525,360
0.633,21.202,112,-0.051,0.025,0.656,74,0.681,1212416,4.8547821044921875,0.055639967,4.08715558052063,6.993758215446665,0.2,0.5459111928939819,0.0001,0.2,-0.02412597708418175,0.38539693813131315,-4.139753248354401,365
0.593,18.937,112,-0.067,0.021,0.584,75,0.63,1228800,5.214359283447266,0.080539644,2.660167694091797,6.916227137532216,0.2,0.5509574711322784,0.0001,0.2,-0.0038022629423827975,0.34271643968871596,-4.17098695573176,370
0.591,18.19,112,-0.061,0.025,0.643,76,0.68,1245184,5.640029430389404,0.04438314,1.9056267738342285,7.240262173317574,0.2,0.5400777161121368,0.0001,0.2,0.00385539512074477,0.3318412162162162,-4.153378735361873,375
0.589,19.35,112,-0.066,0.02,0.555,77,0.601,1261568,5.765966415405273,0.06549313,2.669881820678711,7.351160025504565,0.2,0.5440457761287689,0.0001,0.2,-0.0036210878931963995,0.3576556467181467,-4.1828677065123925,380
0.577,18.783,113,-0.065,0.024,0.583,78,0.623,1277952,2.848970890045166,0.042430393,1.4788520336151123,6.832752991389562,0.2,0.5535901784896851,0.0001,0.2,0.015294701942092889,0.32009396853146854,-4.1391177277464966,385
0.596,18.563,112,-0.066,0.024,0.591,79,0.632,1294336,5.603906154632568,0.041428216,2.548564910888672,7.983986301811374,0.2,0.5044609904289246,0.0001,0.2,-0.005216629822187278,0.3502869897959184,-4.075888496515702,390
0.565,17.732,113,-0.07,0.02,0.55,80,0.6,1310720,5.522205352783203,0.07635303,2.674973964691162,7.519945283268774,0.2,0.528705894947052,0.0001,0.2,-0.007470251712587106,0.3379663275193798,-4.094238408776217,395
0.631,20.172,113,-0.062,0.023,0.613,81,0.652,1327104,3.4180490970611572,0.05076153,2.9564380645751953,7.004212422804399,0.2,0.545566588640213,0.0001,0.2,-0.01124618837766193,0.3578999125874126,-4.056042061819063,400
0.599,18.467,113,-0.065,0.022,0.586,82,0.629,1343488,4.911634922027588,0.04132131,2.0962514877319336,6.963374942836195,0.2,0.5525666177272797,0.0001,0.2,0.001883357140871853,0.33829672029702973,-4.155049531766684,405
0.585,19.219,112,-0.066,0.023,0.576,83,0.619,1359872,4.959784984588623,0.043876905,2.476813554763794,7.352013156811396,0.2,0.546455442905426,0.0001,0.2,-0.006821876434454074,0.3451171875,-4.074282853802045,410
0.586,18.92,112,-0.07,0.023,0.584,84,0.63,1376256,5.66064977645874,0.050474912,3.1443822383880615,7.081293299940766,0.2,0.5562693774700165,0.0001,0.2,-0.014419342560663087,0.377484631147541,-4.060016560163654,415
0.592,19.717,113,-0.057,0.023,0.597,85,0.631,1392640,5.721630096435547,0.049919054,1.4779341220855713,7.41312998324841,0.2,0.5350636541843414,0.0001,0.2,0.015078593612081938,0.30894886363636365,-4.038065438503986,420
0.587,18.85,113,-0.067,0.022,0.571,86,0.617,1409024,4.414039611816406,0.024029158,0.6588327884674072,6.838298082351685,0.2,0.5593218207359314,0.0001,0.2,0.011815358971944079,0.272705078125,-4.148101888597012,425
0.646,21.596,113,-0.053,0.025,0.64,87,0.668,1425408,4.752375602722168,0.04656921,3.738644599914551,7.185357608742622,0.2,0.5523504018783569,0.0001,0.2,-0.02023753958187238,0.36944731404958675,-4.1473115679317925,430
0.561,18.377,113,-0.066,0.02,0.546,88,0.591,1441792,3.911808967590332,0.049254283,3.0630054473876953,6.825246667539751,0.2,0.5656117796897888,0.0001,0.2,-0.011327528518253333,0.36338682432432434,-4.205902540200466,435
0.579,18.81,113,-0.068,0.018,0.559,89,0.609,1458176,4.5820465087890625,0.051252898,2.9463868141174316,7.2775416844327685,0.2,0.539067804813385,0.0001,0.2,-0.010034810912362496,0.358824823943662,-4.221533844168757,440
0.593,19.212,113,-0.062,0.024,0.608,90,0.646,1474560,5.0621514320373535,0.03844978,2.384923219680786,7.3233560354813285,0.2,0.5391940474510193,0.0001,0.2,-0.003370213460015214,0.33084239130434784,-4.199292624515036,445
0.587,18.439,113,-0.063,0.024,0.585,91,0.624,1490944,7.130255699157715,0.025619237,0.9337258338928223,7.176016648610433,0.2,0.5480664670467377,0.0001,0.2,0.018116092371443907,0.27369791666666665,-4.1866047541300455,450
0.581,18.776,113,-0.066,0.019,0.555,92,0.602,1507328,6.510618209838867,0.028113121,0.9887304306030273,7.294317568341891,0.2,0.5369973480701447,0.0001,0.2,0.01844216830310567,0.302978515625,-4.135932112733523,455
0.621,20.656,113,-0.06,0.026,0.633,93,0.668,1523712,3.603012800216675,0.039165057,2.123035192489624,6.981989355920588,0.2,0.546520859003067,0.0001,0.2,-0.001219734433107078,0.3285421723300971,-4.179216597844096,460
0.582,18.923,113,-0.069,0.018,0.542,94,0.593,1540096,6.30570125579834,0.050089095,3.719792604446411,6.8818802490128705,0.2,0.5547738671302795,0.0001,0.2,-0.019863545471528892,0.37584400969529086,-4.228960951939844,465
0.586,18.997,113,-0.062,0.021,0.594,95,0.635,1556480,5.853152275085449,0.052020304,2.9124350547790527,7.254582601236113,0.2,0.5365285277366638,0.0001,0.2,-0.009589407100930071,0.3430296985815603,-4.2146195925719345,470
0.606,19.514,113,-0.061,0.024,0.608,96,0.645,1572864,5.00697135925293,0.051492408,2.885049343109131,7.177183983137282,0.2,0.5431504249572754,0.0001,0.2,-0.011106562383620323,0.349173785971223,-4.198188800605939,475
0.631,21.214,113,-0.058,0.027,0.654,97,0.685,1589248,4.749142169952393,0.03965774,1.9790785312652588,7.1072216133276624,0.2,0.5496838986873627,0.0001,0.2,0.0014297437252632033,0.3432210286458333,-4.191543751706679,480
0.612,19.324,113,-0.065,0.022,0.595,98,0.638,1605632,7.171073913574219,0.020535372,0.5565836429595947,7.0865622361501055,0.2,0.5530508458614349,0.0001,0.2,0.013068585113311807,0.23075810185185186,-4.230149171970509,485
0.621,20.75,113,-0.063,0.022,0.606,99,0.647,1622016,4.52969217300415,0.049277157,3.414592742919922,7.075816028089409,0.2,0.5527689456939697,0.0001,0.2,-0.017860735357032125,0.3718702936746988,-4.304004795580025,490
0.562,18.284,113,-0.061,0.021,0.583,100,0.623,1638400,5.17031192779541,0.052437693,1.442976951599121,6.724176035608564,0.2,0.5688868761062622,0.0001,0.2,0.014279136088277612,0.30089285714285713,-4.3065129688807895,495
0.583,19.782,113,-0.059,0.02,0.564,101,0.602,1654784,5.779059410095215,0.060628105,2.6880645751953125,7.513084541834318,0.2,0.5243192911148071,0.0001,0.2,-0.007897210425625627,0.34368990384615383,-4.3198202958473795,500
0.586,18.734,113,-0.06,0.019,0.562,102,0.602,1671168,5.971766948699951,0.04269334,1.722710371017456,6.895693941744502,0.2,0.5601806938648224,0.0001,0.2,0.004088688446599209,0.31151758982035926,-4.346074289904383,505
0.57,17.959,113,-0.062,0.021,0.577,103,0.618,1687552,4.225839614868164,0.049620293,2.742323160171509,7.431413346908513,0.2,0.529442548751831,0.0001,0.2,-0.005090982981081982,0.34360369850187267,-4.329048889853088,510
0.596,19.478,113,-0.059,0.025,0.618,104,0.651,1703936,5.546533584594727,0.038641196,2.6267995834350586,6.906125898922191,0.2,0.5601255893707275,0.0001,0.2,-0.005077350988764973,0.3290134803921569,-4.334948350868973,515
0.61,18.995,113,-0.068,0.023,0.585,105,0.63,1720320,4.920389652252197,0.049418926,2.867053985595703,6.74148016010257,0.2,0.5646580457687378,0.0001,0.2,-0.012179902088057866,0.3558059802158273,-4.424325184856388,520
0.607,19.908,113,-0.068,0.02,0.567,106,0.615,1736704,3.9837372303009033,0.039416645,1.8445656299591064,6.80844542450375,0.2,0.5654232501983643,0.0001,0.2,0.0031422868526230258,0.33546006944444445,-4.426652540100945,525
0.599,19.221,113,-0.067,0.022,0.611,107,0.656,1753088,5.002635478973389,0.048048448,3.6500015258789062,7.125128940549856,0.2,0.5385817289352417,0.0001,0.2,-0.021339302447231395,0.37535410764872523,-4.448282575472218,530
0.635,20.773,113,-0.06,0.025,0.637,108,0.672,1769472,5.760193824768066,0.06687321,2.670614242553711,6.700455426252805,0.2,0.575547844171524,0.0001,0.2,-0.008097463011598359,0.3451622596153846,-4.451414667643034,535
0.595,19.618,113,-0.06,0.02,0.589,109,0.629,1785856,6.548956871032715,0.041908883,1.831702470779419,6.926380612876978,0.2,0.557881087064743,0.0001,0.2,0.005755587245515558,0.3318995786516854,-4.421362769737672,540
0.625,20.21,110,-0.057,0.024,0.624,110,0.656,1802240,4.903655529022217,0.09513792,1.323784589767456,6.992573922918749,0.2,0.5604399740695953,0.0001,0.2,0.017224017148043298,0.2988735465116279,-4.451164885084759,545
0.629,21.239,110,-0.056,0.027,0.66,111,0.69,1818624,4.752755165100098,0.04168191,2.623444080352783,7.107351087942356,0.2,0.5523602962493896,0.0001,0.2,-0.0045464846468341305,0.3442263719512195,-4.438463651067842,550
0.59,18.922,111,-0.061,0.024,0.601,112,0.638,1835008,5.583433628082275,0.053705104,4.193874835968018,7.021425002282209,0.2,0.5561157464981079,0.0001,0.2,-0.02713011681000785,0.371248452970297,-4.468249738806545,555
0.611,20.371,111,-0.05,0.029,0.666,113,0.688,1851392,5.329824924468994,0.05102151,2.843082904815674,6.817384790230501,0.2,0.5609596371650696,0.0001,0.2,-0.00844727231471411,0.3423374077490775,-4.506885095715963,560
0.61,20.228,111,-0.06,0.022,0.62,114,0.658,1867776,4.614881992340088,0.057335462,2.7537224292755127,6.929929435933044,0.2,0.5648941099643707,0.0001,0.2,-0.009601248350320207,0.349780180608365,-4.4074026604569,565
0.625,20.062,110,-0.06,0.023,0.61,115,0.648,1884160,4.939793109893799,0.060301602,2.8087522983551025,7.154584378907175,0.2,0.5461201071739197,0.0001,0.2,-0.006678633141387819,0.341796875,-4.426167526028373,570
0.588,18.58,112,-0.069,0.023,0.571,116,0.617,1900544,4.836640357971191,0.041116033,1.9026532173156738,6.507997548580169,0.2,0.5823801159858704,0.0001,0.2,0.00535652220973538,0.32786458333333335,-4.399450580279033,575
0.617,20.375,112,-0.062,0.021,0.605,117,0.646,1916928,6.481107234954834,0.051878832,1.3682777881622314,7.295608307376052,0.2,0.5401972234249115,0.0001,0.2,0.017280294771560213,0.3077651515151515,-4.374825578747374,580
0.586,19.257,112,-0.065,0.026,0.608,118,0.646,1933312,6.566136837005615,0.04363529,2.2653355598449707,6.903547313115368,0.2,0.5577784478664398,0.0001,0.2,0.0015134512527620412,0.3405393835616438,-4.4103129334645725,585
0.602,19.938,111,-0.059,0.024,0.619,119,0.654,1949696,4.442630767822266,0.050322797,3.679044485092163,6.9623249024570155,0.2,0.5658738613128662,0.0001,0.2,-0.021758285300227023,0.37585346638655465,-4.40368442375119,590
