time/fps,rollout/rew_collision,time/iterations,rollout/total_reward,rollout/rew_surface_coverage_2d,rollout/episode_reward,rollout/rew_termination,rollout/episode_length,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/value_loss,train/entropy_loss,train/loss,train/clip_range_vf,train/learning_rate,time/training,train/clip_fraction,train/explained_variance
253,-0.066,21,0.556,0.602,0.534,0.019,18.244,344064,0.2,-0.02197954123544747,0.17925577,100,5.245601568286775,-2.987052246995641,3.0067708492279053,0.2,0.0001,4.504164457321167,0.4593643947963801,0.6577450633049011
253,-0.063,22,0.558,0.599,0.578,0.022,19.602,360448,0.2,-0.036608749974402596,0.18006447,105,5.557799705117941,-2.9226832684129476,3.8118045330047607,0.2,0.0001,6.53983211517334,0.49002685546875,0.6438429355621338
252,-0.059,23,0.599,0.634,0.569,0.024,19.736,376832,0.2,-0.036161468237696684,0.1763179,110,5.057020204514265,-3.011747722700238,2.682325601577759,0.2,0.0001,6.5709569454193115,0.49169921875,0.6692742705345154
253,-0.066,24,0.556,0.6,0.553,0.022,18.765,393216,0.2,-0.033575422504632656,0.19326785,115,5.386200101900909,-2.9828016669063246,2.8054051399230957,0.2,0.0001,5.990058660507202,0.4805217161016949,0.6561290621757507
253,-0.064,25,0.507,0.55,0.541,0.02,18.788,409600,0.2,-0.00013468998949974775,0.26601478,120,5.529595400605883,-2.982436273779188,3.209028959274292,0.2,0.0001,2.88041090965271,0.4193638392857143,0.6504365503787994
253,-0.067,26,0.537,0.584,0.562,0.02,19.596,425984,0.2,-0.03449950420617824,0.1838102,125,5.987467300146818,-2.9144865103065967,3.5752875804901123,0.2,0.0001,6.541113615036011,0.4825927734375,0.6180193722248077
252,-0.057,27,0.622,0.654,0.613,0.024,20.539,442368,0.2,0.013132647395185713,0.12847796,130,5.809122920036316,-2.9885862761073643,5.857067108154297,0.2,0.0001,1.8297836780548096,0.37265625,0.6311146318912506
253,-0.067,28,0.538,0.585,0.527,0.019,17.546,458752,0.2,0.027069988990983656,0.14285992,135,5.167347438873783,-3.0113682177758987,2.297593832015991,0.2,0.0001,1.5716001987457275,0.38382056451612906,0.6633463203907013
253,-0.062,29,0.574,0.615,0.556,0.021,19.315,475136,0.2,0.0073328670079134545,0.19965325,140,5.923182832969809,-2.9784489010864834,6.469793796539307,0.2,0.0001,2.709651231765747,0.41745283018867924,0.6298854351043701
254,-0.066,30,0.531,0.576,0.537,0.021,18.233,491520,0.2,-0.03416473597784031,0.17982139,145,5.456389435700008,-3.067680851979689,5.07278299331665,0.2,0.0001,6.262264728546143,0.4802531452922078,0.6546899378299713
253,-0.064,31,0.563,0.607,0.547,0.02,18.502,507904,0.2,-0.03733885592373554,0.18282798,150,5.222529336437583,-3.0991945415735245,2.7797634601593018,0.2,0.0001,6.578586101531982,0.49246826171875,0.6636725962162018
254,-0.064,32,0.575,0.617,0.589,0.022,20.239,524288,0.2,-0.03507777585327858,0.17277348,155,5.545024375617504,-2.9718056436628104,4.926882743835449,0.2,0.0001,6.525125741958618,0.47901611328125,0.6509667336940765
253,-0.055,33,0.582,0.614,0.57,0.023,19.205,540672,0.2,-0.035933167059556584,0.18123102,160,5.345280938223004,-2.9800936456769707,3.822718620300293,0.2,0.0001,6.552520751953125,0.489111328125,0.6593193411827087
254,-0.066,34,0.567,0.612,0.556,0.021,18.786,557056,0.2,0.016331339737672996,0.15009142,165,5.702825243880109,-2.963783142043323,3.527864933013916,0.2,0.0001,1.6639554500579834,0.3912919207317073,0.6505617499351501
254,-0.06,35,0.583,0.621,0.596,0.023,20.459,573440,0.2,-0.03208266100553787,0.18182456,170,5.701836531480922,-3.0004806345787602,2.931379795074463,0.2,0.0001,6.363230228424072,0.47909118357487923,0.6291459798812866
254,-0.061,36,0.608,0.642,0.596,0.027,20.549,589824,0.2,-0.015279414240376786,0.17679179,175,5.66878186582954,-2.981135463827594,3.8708713054656982,0.2,0.0001,4.287084579467773,0.45986374407582936,0.6337961256504059
