rollout/rew_collision,time/iterations,time/fps,rollout/episode_length,time/total_timesteps,rollout/rew_surface_coverage_2d,rollout/episode_reward,rollout/total_reward,rollout/rew_termination,train/clip_range,train/clip_fraction,train/value_loss,train/n_updates,train/approx_kl,train/explained_variance,train/learning_rate,train/clip_range_vf,time/training,train/policy_gradient_loss,train/loss,train/entropy_loss
-0.065,1,130,20.329,16384,0.63,0.639,0.59,0.026,,,,,,,,,,,,
-0.053,2,130,19.998,32768,0.678,0.656,0.655,0.03,0.2,0.3337905534351145,7.412799198208875,5,0.07434955,0.5366964340209961,0.0001,0.2,1.6183922290802002,0.019590659788631982,5.4508957862854,-4.287021687922587
-0.058,3,130,18.88,49152,0.656,0.628,0.623,0.025,0.2,0.3383390077821012,7.274999087886588,10,0.07902247,0.5415178537368774,0.0001,0.2,2.860898733139038,-0.004755853193337351,3.7140350341796875,-4.302170701527873
-0.057,4,131,18.872,65536,0.628,0.596,0.597,0.026,0.2,0.2962139423076923,7.559508413534898,15,0.07620643,0.5434009730815887,0.0001,0.2,1.4906251430511475,0.020707919291005683,5.321239471435547,-4.2925798507837145
-0.056,5,131,17.033,81920,0.65,0.573,0.621,0.027,0.2,0.3151307397959184,7.489350793313007,20,0.036548916,0.5256911516189575,0.0001,0.2,2.308335781097412,0.002293805451588515,7.57772970199585,-4.252539611592585
-0.067,6,131,19.447,98304,0.623,0.6,0.581,0.025,0.2,0.3255921803652968,8.086839521312278,25,0.039780434,0.4856293201446533,0.0001,0.2,2.485875129699707,-0.0032596474696273943,5.426862716674805,-4.296957442749581
-0.054,7,131,19.249,114688,0.66,0.613,0.634,0.027,0.2,0.309375,7.123881763882107,30,0.052267183,0.5439925193786621,0.0001,0.2,1.4604945182800293,0.017317707160556757,4.202346324920654,-4.296430294602006
-0.057,8,130,20.339,131072,0.685,0.638,0.657,0.029,0.2,0.2958386479591837,7.3896782738821845,35,0.029771937,0.5387088656425476,0.0001,0.2,1.0814485549926758,0.017779554202392394,5.269119739532471,-4.302663691189824
-0.061,9,130,19.199,147456,0.645,0.623,0.606,0.022,0.2,0.3293309563758389,7.101980494172781,40,0.044047408,0.5574329197406769,0.0001,0.2,1.6729109287261963,0.012135603502642789,4.449167251586914,-4.33932907949358
-0.06,10,130,19.166,163840,0.646,0.598,0.609,0.023,0.2,0.34671052631578947,7.406644819493879,45,0.05014541,0.5407295227050781,0.0001,0.2,3.2142417430877686,-0.01147790594974108,4.478891372680664,-4.326627111434936
-0.063,11,131,18.743,180224,0.65,0.602,0.613,0.026,0.2,0.3033952067669173,7.678019229630778,50,0.061199207,0.5229478776454926,0.0001,0.2,1.4955644607543945,0.016999894255926285,6.333691120147705,-4.294153096980619
-0.06,12,131,19.532,196608,0.678,0.626,0.644,0.026,0.2,0.30802266081871343,7.484260511677167,55,0.04743117,0.542674332857132,0.0001,0.2,1.903367280960083,0.005608066208442749,4.539228916168213,-4.271222606737014
-0.057,13,131,19.609,212992,0.646,0.616,0.615,0.026,0.2,0.3832058066361556,7.404962267973876,60,0.05442338,0.5414745211601257,0.0001,0.2,4.980782747268677,-0.027537824632919625,3.3616647720336914,-4.291023175285392
-0.054,14,130,19.243,229376,0.674,0.62,0.648,0.029,0.2,0.299705615942029,7.433071198670761,65,0.046484746,0.5303899049758911,0.0001,0.2,1.5235810279846191,0.015049795768615128,7.280254364013672,-4.324499202811199
-0.06,15,131,19.647,245760,0.665,0.624,0.631,0.027,0.2,0.30262276785714287,7.4222854818616595,70,0.053025786,0.5407306551933289,0.0001,0.2,1.5561354160308838,0.013316481573773282,5.611202239990234,-4.278391889163426
-0.069,16,131,19.305,262144,0.599,0.617,0.551,0.02,0.2,0.312558302238806,7.338023644774707,75,0.054614242,0.5383512079715729,0.0001,0.2,1.580092430114746,0.018716284268493973,5.782586574554443,-4.32065810018511
-0.059,17,132,19.7,278528,0.66,0.62,0.629,0.028,0.2,0.35300822953736655,7.509208153151108,80,0.045051508,0.5396632254123688,0.0001,0.2,3.0504486560821533,-0.009207199289533062,5.792649745941162,-4.324608376866133
