rollout/rew_surface_coverage_2d,time/iterations,rollout/rew_collision,time/total_timesteps,rollout/episode_reward,time/fps,rollout/episode_length,rollout/rew_termination,rollout/total_reward,time/training,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates,train/clip_range_vf,train/loss,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_fraction
0.636,21,-0.058,344064,0.578,257,20.406,0.025,0.603,6.4165496826171875,0.14374809,0.2,0.0001,100,0.2,2.1426782608032227,-0.036599478454445486,-3.243735732510686,6.116774758696556,0.6151675283908844,0.4875
0.588,22,-0.062,360448,0.543,256,18.793,0.023,0.55,6.437339782714844,0.1384894,0.2,0.0001,105,0.2,3.7375998497009277,-0.03760874516301556,-3.2391938604414463,5.5532534722238776,0.6391827464103699,0.48316650390625
0.58,23,-0.073,376832,0.519,258,17.285,0.02,0.527,6.4548163414001465,0.14671892,0.2,0.0001,110,0.2,2.8779296875,-0.037179429970274215,-3.2010241534560917,5.984969160333276,0.614360898733139,0.495849609375
0.577,24,-0.066,393216,0.519,257,18.202,0.021,0.532,6.494379281997681,0.13551828,0.2,0.0001,115,0.2,3.7519214153289795,-0.03763133929460309,-3.1691517364233732,6.332525132223964,0.5973182618618011,0.484619140625
0.62,25,-0.059,409600,0.579,257,20.713,0.022,0.583,6.464238405227661,0.14981373,0.2,0.0001,120,0.2,2.6113123893737793,-0.03503500895967591,-3.1727373253554108,6.047550193965435,0.6098999679088593,0.48934326171875
0.591,26,-0.063,425984,0.53,257,18.231,0.02,0.549,6.471893787384033,0.13801152,0.2,0.0001,125,0.2,4.947477340698242,-0.03741998035548022,-3.23523394651711,5.426180183514953,0.6525421738624573,0.49259033203125
0.608,27,-0.064,442368,0.546,257,18.794,0.023,0.567,6.463446617126465,0.14430293,0.2,0.0001,130,0.2,3.1269583702087402,-0.036645953098195606,-3.2008076027035712,5.645463224872946,0.6388381719589233,0.491162109375
0.64,28,-0.053,458752,0.604,257,21.196,0.026,0.613,5.693506240844727,0.18063721,0.2,0.0001,135,0.2,3.0533032417297363,-0.033323531912689185,-3.253532040857636,5.59374863827123,0.6380471885204315,0.47874723451327433
0.648,29,-0.059,475136,0.586,257,19.742,0.023,0.613,4.03053617477417,0.16016506,0.2,0.0001,140,0.2,3.5104503631591797,-0.013001680388185546,-3.1835283825744938,5.913516301006528,0.6245622634887695,0.4450769472361809
0.636,30,-0.058,491520,0.585,258,20.181,0.024,0.602,5.972971677780151,0.15250468,0.2,0.0001,145,0.2,4.724793434143066,-0.0335847628545894,-3.182353897929593,5.69627010862434,0.6409089267253876,0.47785143097643096
0.57,31,-0.068,507904,0.515,257,17.721,0.02,0.522,6.478058338165283,0.14087304,0.2,0.0001,150,0.2,2.981109857559204,-0.039001946401549505,-3.093414321541786,5.6705153495073315,0.6392945647239685,0.4898193359375
0.578,32,-0.072,524288,0.53,258,18.397,0.02,0.527,6.501846075057983,0.1427322,0.2,0.0001,155,0.2,4.07474422454834,-0.0353459666177514,-3.114590073004365,6.094881973043084,0.6076495945453644,0.48446044921875
0.583,33,-0.058,540672,0.523,258,18.597,0.02,0.546,3.8907511234283447,0.5311453,0.2,0.0001,160,0.2,5.482659339904785,-0.013544292788403902,-3.119728360681263,6.466045699378316,0.5951807498931885,0.43756056201550386
0.628,34,-0.055,557056,0.568,257,20.305,0.022,0.595,6.430560111999512,0.15121141,0.2,0.0001,165,0.2,3.283015251159668,-0.03626869499566965,-3.1707466430962086,6.04873523786664,0.6113908290863037,0.4845947265625
0.588,35,-0.063,573440,0.583,257,20.206,0.022,0.547,6.42508864402771,0.14362952,0.2,0.0001,170,0.2,2.822873830795288,-0.03604449046688387,-3.1455485969781876,5.842672561854124,0.6190291941165924,0.481689453125
0.602,36,-0.052,589824,0.568,258,19.678,0.021,0.571,4.436925649642944,0.17194493,0.2,0.0001,175,0.2,3.6612555980682373,-0.019063901236437076,-3.142534344104412,5.651712854973583,0.6384859979152679,0.45923681972789115
0.581,37,-0.06,606208,0.546,258,19.014,0.022,0.543,3.4509387016296387,0.12476863,0.2,0.0001,180,0.2,4.29109525680542,-0.010527135603368803,-3.1302850969331257,5.438073304929817,0.6550022959709167,0.4308491253644315
0.631,38,-0.057,622592,0.569,257,19.646,0.025,0.599,6.413912534713745,0.14796385,0.2,0.0001,185,0.2,3.3189547061920166,-0.03661329886163003,-3.1028932854533195,5.784229595586657,0.628521740436554,0.49500732421875
0.581,39,-0.066,638976,0.58,256,20.712,0.021,0.536,3.7121050357818604,0.11005169,0.2,0.0001,190,0.2,4.769647121429443,-0.014890888791662569,-3.1397897092307487,5.726316444919038,0.6377450823783875,0.4308519647696477
0.611,40,-0.062,655360,0.582,256,20.353,0.026,0.575,6.435067415237427,0.14608066,0.2,0.0001,195,0.2,3.047501564025879,-0.0386983568983851,-3.1365317691117527,5.837219811230898,0.6202703714370728,0.49071044921875
0.582,41,-0.06,671744,0.535,256,19.053,0.02,0.542,2.689581871032715,0.20211594,0.2,0.0001,200,0.2,3.392526388168335,0.0008432864613661712,-3.1470134592417516,5.955266165913957,0.6241326928138733,0.41267163825757575
0.611,42,-0.054,688128,0.564,257,19.638,0.023,0.579,6.490182399749756,0.14284322,0.2,0.0001,205,0.2,4.881602764129639,-0.038126263019512406,-3.110203406959772,5.630326040834189,0.6347824037075043,0.4889404296875
0.617,43,-0.06,704512,0.554,257,19.956,0.023,0.58,6.437875986099243,0.14549038,0.2,0.0001,210,0.2,2.516199827194214,-0.037011029654240704,-3.110529946908355,5.812179721146822,0.6309201419353485,0.49052734375
0.592,44,-0.07,720896,0.556,257,19.371,0.02,0.542,6.415071964263916,0.16209388,0.2,0.0001,215,0.2,4.148935317993164,-0.03684251902232063,-3.073541688919067,5.916575353965163,0.6265415847301483,0.489453125
0.561,45,-0.059,737280,0.536,257,19.331,0.019,0.521,6.443880319595337,0.15121341,0.2,0.0001,220,0.2,5.378962516784668,-0.03343843590628239,-3.0429618380963803,6.245463982224464,0.605697751045227,0.49569091796875
0.607,46,-0.061,753664,0.532,257,18.013,0.022,0.568,6.447302341461182,0.14417979,0.2,0.0001,225,0.2,3.125580310821533,-0.036492764281865674,-3.0835038632154466,6.00155151411891,0.610591322183609,0.4916015625
0.629,47,-0.06,770048,0.562,256,19.378,0.023,0.592,4.478433847427368,0.1350531,0.2,0.0001,230,0.2,2.5749597549438477,-0.01820761355640825,-3.1458211520993684,5.813815182003426,0.6298880279064178,0.46076114559819414
0.596,48,-0.068,786432,0.542,257,18.809,0.022,0.55,6.396260023117065,0.14825815,0.2,0.0001,235,0.2,4.014883518218994,-0.03697233594721183,-3.17353283315897,5.69237572401762,0.6374500095844269,0.4954345703125
0.608,49,-0.066,802816,0.596,256,20.663,0.019,0.561,5.662606477737427,0.21271628,0.2,0.0001,240,0.2,3.7169015407562256,-0.031339833559963774,-3.0708365579868886,5.8398831169655985,0.6177622675895691,0.48064882535460995
0.597,50,-0.06,819200,0.569,257,19.637,0.021,0.559,6.451233625411987,0.150039,0.2,0.0001,245,0.2,3.343503475189209,-0.03681003648453043,-3.1366274446249007,5.4849660731852055,0.6489030718803406,0.49378662109375
0.631,51,-0.06,835584,0.562,256,20.036,0.024,0.595,6.290992021560669,0.15045862,0.2,0.0001,250,0.2,3.419135808944702,-0.03519586310011857,-3.107650801228482,5.907773134222383,0.6297204494476318,0.47298856340288925
0.587,52,-0.069,851968,0.527,257,17.919,0.02,0.537,6.439890384674072,0.15677097,0.2,0.0001,255,0.2,2.882631301879883,-0.03761055960567319,-3.1028344705700874,5.489066146314144,0.6437168121337891,0.48800048828125
0.566,53,-0.072,868352,0.553,256,18.736,0.02,0.514,6.464785575866699,0.15072629,0.2,0.0001,260,0.2,4.839044094085693,-0.03866105903871357,-3.1230132590979336,5.967075496912003,0.6209152936935425,0.48935546875
0.608,54,-0.06,884736,0.567,257,19.685,0.021,0.568,6.45463228225708,0.14428638,0.2,0.0001,265,0.2,3.974632501602173,-0.03909906715707621,-3.109258570894599,5.599082801118493,0.6367128491401672,0.479833984375
0.594,55,-0.06,901120,0.539,257,18.426,0.022,0.556,6.446053981781006,0.15364656,0.2,0.0001,270,0.2,5.238896369934082,-0.03856476019500406,-3.074793230369687,6.173773274570704,0.6196028590202332,0.4872802734375
0.577,56,-0.069,917504,0.54,257,18.872,0.019,0.527,6.41699743270874,0.14396173,0.2,0.0001,275,0.2,4.333440780639648,-0.040221127402037385,-3.1397978283464907,5.758711643144489,0.6342246234416962,0.4833251953125
0.63,57,-0.065,933888,0.573,257,19.269,0.023,0.588,6.483745098114014,0.14185762,0.2,0.0001,280,0.2,3.404939651489258,-0.034741834473243215,-3.0885987270623447,5.9678415976464745,0.6191690266132355,0.47213134765625
0.579,58,-0.06,950272,0.527,257,18.586,0.021,0.541,6.434983253479004,0.13162668,0.2,0.0001,285,0.2,3.4677138328552246,-0.03759231768999598,-3.09678609110415,5.654707953333855,0.637946605682373,0.457470703125
0.578,59,-0.066,966656,0.528,257,17.988,0.019,0.532,6.418510913848877,0.15001327,0.2,0.0001,290,0.2,3.676163911819458,-0.03553951264038915,-3.0899791356176136,5.969628272950649,0.6092328131198883,0.4858154296875
0.605,60,-0.065,983040,0.567,257,18.786,0.019,0.56,6.133041620254517,0.16921736,0.2,0.0001,295,0.2,2.88631534576416,-0.03300516058950644,-3.073155119212961,6.108950473744951,0.6058422029018402,0.48852977161500816
0.591,61,-0.064,999424,0.538,256,18.373,0.021,0.548,6.470276117324829,0.15737692,0.2,0.0001,300,0.2,4.609677314758301,-0.03589287130380399,-3.0423251681029795,5.716770419105887,0.6326096653938293,0.502490234375
0.612,62,-0.062,1015808,0.578,258,20.009,0.022,0.573,4.27306604385376,0.1607561,0.2,0.0001,305,0.2,5.533666610717773,-0.0175506882380475,-3.0417242061390595,5.702163018058328,0.6396754086017609,0.4439154411764706
0.594,63,-0.059,1032192,0.548,257,19.626,0.021,0.556,5.978693723678589,0.17350127,0.2,0.0001,310,0.2,2.799860954284668,-0.032239062987717254,-3.0672590904299737,6.11249304536599,0.6102614998817444,0.4802528266331658
0.563,64,-0.063,1048576,0.504,257,17.531,0.021,0.521,6.461625099182129,0.17191403,0.2,0.0001,315,0.2,4.385653495788574,-0.032876653104904105,-3.0325593940913675,5.802511629834771,0.6291995048522949,0.49451904296875
0.566,65,-0.069,1064960,0.532,256,17.969,0.02,0.517,6.477810382843018,0.15727505,0.2,0.0001,320,0.2,3.3821773529052734,-0.037009248128742914,-2.9866556238383053,6.195555943995714,0.5990405678749084,0.48681640625
0.591,66,-0.068,1081344,0.51,256,17.399,0.022,0.544,6.43677020072937,0.17059967,0.2,0.0001,325,0.2,3.3944642543792725,-0.03601616162341088,-3.002165002003312,5.611187775060534,0.6367092132568359,0.49927978515625
0.579,67,-0.068,1097728,0.527,258,18.768,0.02,0.531,6.460889101028442,0.16509405,0.2,0.0001,330,0.2,2.3808186054229736,-0.03747891064704163,-2.954762790352106,5.760687823966146,0.6370767056941986,0.48077392578125
0.595,68,-0.064,1114112,0.55,257,18.325,0.019,0.55,1.4329416751861572,0.18547575,0.2,0.0001,335,0.2,3.7140774726867676,0.023715262652954438,-2.966583715452181,5.8663685005027935,0.6254507303237915,0.3703562062937063
0.609,69,-0.064,1130496,0.565,257,19.747,0.022,0.567,4.304670810699463,0.170405,0.2,0.0001,340,0.2,3.9857306480407715,-0.020589017406306656,-2.9625562767234284,5.942477246358188,0.6249591112136841,0.4418728044496487
0.587,70,-0.066,1146880,0.543,257,18.73,0.022,0.543,6.413586854934692,0.15232114,0.2,0.0001,345,0.2,3.4210827350616455,-0.03388618677854538,-3.0041519954800604,5.597467954084277,0.6328607797622681,0.484814453125
0.605,71,-0.062,1163264,0.562,257,19.273,0.021,0.565,2.7658228874206543,0.18820855,0.2,0.0001,350,0.2,3.563117027282715,0.004070905735716224,-3.0333218591800635,5.762032097664433,0.6304180324077606,0.4226675724637681
0.574,72,-0.065,1179648,0.558,257,18.927,0.019,0.528,3.0335018634796143,0.14306107,0.2,0.0001,355,0.2,4.2860918045043945,-0.003747154943075687,-3.032922682968089,5.702291670827771,0.6311796307563782,0.420265780730897
0.596,73,-0.062,1196032,0.569,256,20.385,0.022,0.555,6.467110633850098,0.15297306,0.2,0.0001,360,0.2,2.6609063148498535,-0.03876111542413128,-3.0855846032500267,5.694647179171443,0.633331686258316,0.4820068359375
0.603,74,-0.063,1212416,0.576,257,19.794,0.022,0.563,6.536448001861572,0.1650846,0.2,0.0001,365,0.2,2.8654675483703613,-0.03607992122633732,-3.075852644070983,5.468538910150528,0.6417790353298187,0.48475341796875
0.563,75,-0.063,1228800,0.551,257,19.134,0.02,0.52,6.4331817626953125,0.15957648,0.2,0.0001,370,0.2,3.497267961502075,-0.03761298519966658,-3.040815246477723,5.694735380262136,0.6297003328800201,0.4860107421875
0.562,76,-0.06,1245184,0.547,256,18.933,0.021,0.523,6.468030691146851,0.14761333,0.2,0.0001,375,0.2,3.2762088775634766,-0.03664823649742175,-3.068984019011259,5.912545361742377,0.6173205375671387,0.47669677734375
0.605,77,-0.066,1261568,0.551,256,19.05,0.021,0.561,1.5719587802886963,0.11677764,0.2,0.0001,380,0.2,4.761002540588379,0.022233717931577794,-3.0115422866283317,6.011356741954119,0.6170387268066406,0.34745592948717946
0.574,78,-0.071,1277952,0.534,256,17.965,0.021,0.524,5.567883491516113,0.16041084,0.2,0.0001,385,0.2,3.9191150665283203,-0.028532582533901143,-2.97160234416803,6.347814375410028,0.5941288769245148,0.45175463381555153
0.561,79,-0.067,1294336,0.535,257,18.032,0.019,0.513,6.434949159622192,0.15977788,0.2,0.0001,390,0.2,4.076798915863037,-0.035628757259837586,-2.975762186944485,6.1700211253017185,0.6058486998081207,0.49305419921875
0.618,80,-0.064,1310720,0.579,257,20.064,0.021,0.574,6.417414426803589,0.15422839,0.2,0.0001,395,0.2,3.996962070465088,-0.03907115837646415,-2.97768086604774,5.657548987865448,0.6313126385211945,0.48582763671875
0.574,81,-0.06,1327104,0.515,256,17.988,0.021,0.535,6.463303089141846,0.158351,0.2,0.0001,400,0.2,2.930542469024658,-0.03883371712290682,-2.9447815272957087,5.807327893376351,0.6303785741329193,0.48641357421875
0.585,82,-0.065,1343488,0.567,257,19.115,0.021,0.541,3.642329454421997,0.12168871,0.2,0.0001,405,0.2,4.031468868255615,-0.01053534352583913,-2.997624647486341,5.662808084880913,0.6374300122261047,0.4315118475274725
0.615,83,-0.065,1359872,0.564,257,19.104,0.024,0.574,4.551793813705444,0.1568147,0.2,0.0001,410,0.2,4.657565116882324,-0.02131483314068256,-2.9304301467325007,6.030660093362842,0.6188145279884338,0.4577113560267857
0.564,84,-0.065,1376256,0.534,257,18.227,0.021,0.52,6.468304395675659,0.15479088,0.2,0.0001,415,0.2,4.105199813842773,-0.03643210067384643,-2.9631982665508985,5.784670009464025,0.6360555589199066,0.490673828125
0.594,85,-0.065,1392640,0.569,257,19.408,0.021,0.55,1.8889718055725098,0.11203336,0.2,0.0001,420,0.2,4.953542232513428,0.014918104346309389,-2.9449841017445557,6.338221958705357,0.5997868776321411,0.3860780423280423
0.614,86,-0.059,1409024,0.585,256,20.079,0.023,0.578,6.437197685241699,0.17597798,0.2,0.0001,425,0.2,4.559774875640869,-0.0362088846944971,-2.932823416590691,5.888894560933113,0.6195185780525208,0.4956298828125
0.583,87,-0.06,1425408,0.553,256,18.9,0.02,0.543,2.414935350418091,0.098647825,0.2,0.0001,430,0.2,4.010649681091309,0.007970544619157034,-2.9982555193059586,5.627807635219157,0.6374412775039673,0.39298844537815125
0.635,88,-0.068,1441792,0.554,256,18.378,0.024,0.591,6.434414386749268,0.16544129,0.2,0.0001,435,0.2,3.589928388595581,-0.035638180475507396,-2.967064058408141,5.797367034479976,0.6347188651561737,0.48572998046875
0.554,89,-0.067,1458176,0.518,256,17.605,0.02,0.507,6.463303327560425,0.159213,0.2,0.0001,440,0.2,4.605865955352783,-0.03551962341007311,-2.958604880049825,5.690353213623166,0.6382631659507751,0.4945556640625
0.592,90,-0.068,1474560,0.556,256,19.003,0.019,0.542,6.4010303020477295,0.16367881,0.2,0.0001,445,0.2,2.29410719871521,-0.03288280923952698,-3.01419885084033,5.523956707119941,0.6462371349334717,0.50093994140625
0.571,91,-0.067,1490944,0.534,256,18.38,0.021,0.525,5.797882795333862,0.1886909,0.2,0.0001,450,0.2,2.7547388076782227,-0.03391961523219553,-2.93626201880956,5.846840425311583,0.6234261989593506,0.4862838132635253
0.586,92,-0.07,1507328,0.547,256,18.812,0.019,0.535,2.3240013122558594,0.10633593,0.2,0.0001,455,0.2,5.5572733879089355,0.010087632967544526,-2.9659317002214234,5.971595198943697,0.617933064699173,0.40911233836206895
0.591,93,-0.068,1523712,0.55,257,18.442,0.019,0.542,6.448225021362305,0.16479802,0.2,0.0001,460,0.2,3.1138808727264404,-0.03920523402193794,-2.900751381367445,6.045392693579197,0.6102970838546753,0.4845947265625
0.59,94,-0.066,1540096,0.558,257,19.129,0.021,0.546,6.445474147796631,0.17388722,0.2,0.0001,465,0.2,3.374425172805786,-0.03581328697473509,-2.945239356160164,5.9151974327862265,0.6183615624904633,0.492529296875
0.575,95,-0.057,1556480,0.535,256,18.691,0.021,0.538,1.7301619052886963,0.1148728,0.2,0.0001,470,0.2,4.098320007324219,0.020620417522772543,-2.93060219081151,5.88340308624885,0.6263283491134644,0.39667630057803466
0.576,96,-0.069,1572864,0.548,257,19.021,0.018,0.525,6.423779726028442,0.16721338,0.2,0.0001,475,0.2,3.3874058723449707,-0.0369526086600672,-2.9875419728457926,5.550113353505731,0.6427727341651917,0.49930419921875
